"Timestamp","Average A/L MCQ Marks (Out of 50)","Number of A/L Attempts","Which social media platforms do you use?","Approximately how many hours per day do you spend on social media?","Approximately how many hours per day do you spend on self-study (outside of school/tuition)?","Select the type of tuition class you attend for Subject 1:","Select the type of tuition class you attend for Subject 2:","Select the type of tuition class you attend for Subject 3:","How many years of past papers have you completed for each subject (on average)?","What was your average school attendance percentage during the A/L period?","Were you in a romantic relationship during your A/L preparation period?","On average, how would you rate your stress level during the A/L preparation period?"
"2026/01/22 9:01:13 PM GMT+5:30","35","1st Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","High"
"2026/01/22 9:01:26 PM GMT+5:30","37","1st Attempt","Instagram;WhatsApp;Telegram;YouTube","3-5 hours","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","50-75%","No","High"
"2026/01/22 9:01:33 PM GMT+5:30","35","2nd Attempt","WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","75-90%","No","Moderate"
"2026/01/22 9:02:20 PM GMT+5:30","34","1st Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Individual;Group","Group","Mass Class","8-10 years","50-75%","Yes","Very High"
"2026/01/22 9:02:22 PM GMT+5:30","33","2nd Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","Below 50%","No","Low"
"2026/01/22 9:03:13 PM GMT+5:30","30","1st Attempt","WhatsApp;YouTube","1-3 hours","4-6 hours","Group","Group","Individual","8-10 years","75-90%","No","Moderate"
"2026/01/22 9:03:15 PM GMT+5:30","30","1st Attempt","WhatsApp;YouTube","1-3 hours","4-6 hours","Group","Group","Individual","8-10 years","75-90%","No","Moderate"
"2026/01/22 9:03:26 PM GMT+5:30","37","3rd Attempt","Instagram;WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","50-75%","No","High"
"2026/01/22 9:03:40 PM GMT+5:30","25","2nd Attempt","Instagram;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","Low"
"2026/01/22 9:04:08 PM GMT+5:30","43","3rd Attempt","WhatsApp;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","Below 50%","No","Very High"
"2026/01/22 9:04:10 PM GMT+5:30","30","2nd Attempt","Instagram;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","75-90%","No","Very High"
"2026/01/22 9:04:11 PM GMT+5:30","35","1st Attempt","Instagram;TikTok;WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","Below 50%","No","Moderate"
"2026/01/22 9:04:50 PM GMT+5:30","40","2nd Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","75-90%","No","Moderate"
"2026/01/22 9:05:12 PM GMT+5:30","35","1st Attempt","WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","No","Low"
"2026/01/22 9:05:24 PM GMT+5:30","25","1st Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","3-5 hours","4-6 hours","Mass Class","Mass Class","Mass Class","1-3 years","50-75%","No","Moderate"
"2026/01/22 9:06:05 PM GMT+5:30","30","2nd Attempt","WhatsApp;Telegram;YouTube","Less than 1 hour","2-4 hours","Mass Class","Mass Class","Mass Class","4-7 years","50-75%","No","Low"
"2026/01/22 9:07:52 PM GMT+5:30","38","3rd Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","Below 50%","No","Low"
"2026/01/22 9:08:14 PM GMT+5:30","35","1st Attempt","Instagram;WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","Moderate"
"2026/01/22 9:08:15 PM GMT+5:30","35","2nd Attempt","TikTok;WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","Below 50%","Yes","High"
"2026/01/22 9:08:18 PM GMT+5:30","38","2nd Attempt","Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","75-90%","No","Moderate"
"2026/01/22 9:09:28 PM GMT+5:30","","2nd Attempt","WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","50-75%","No","High"
"2026/01/22 9:09:51 PM GMT+5:30","38","1st Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Group","More than 10 years","Below 50%","No","Moderate"
"2026/01/22 9:10:01 PM GMT+5:30","41","1st Attempt","Instagram;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","50-75%","No","Moderate"
"2026/01/22 9:10:13 PM GMT+5:30","43","2nd Attempt","Instagram;WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","No","Moderate"
"2026/01/22 9:10:15 PM GMT+5:30","30","1st Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","3-5 hours","2-4 hours","Mass Class","Mass Class","Group","","50-75%","","High"
"2026/01/22 9:10:36 PM GMT+5:30","30","2nd Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","Less than 1 hour","2-4 hours","Mass Class","Mass Class","None","4-7 years","50-75%","Yes","High"
"2026/01/22 9:11:07 PM GMT+5:30","25","1st Attempt","Instagram;TikTok;WhatsApp;Telegram;YouTube","3-5 hours","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","50-75%","No","Moderate"
"2026/01/22 9:11:37 PM GMT+5:30","35","2nd Attempt","Instagram;WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Group","8-10 years","50-75%","Yes","Moderate"
"2026/01/22 9:11:55 PM GMT+5:30","25","3rd Attempt","Facebook;Instagram;WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","75-90%","No","Moderate"
"2026/01/22 9:12:12 PM GMT+5:30","35","2nd Attempt","Instagram;WhatsApp;Telegram;YouTube","Over 5 hours","2-4 hours","Mass Class","Mass Class","Mass Class","4-7 years","75-90%","Yes","Moderate"
"2026/01/22 9:12:18 PM GMT+5:30","30","2nd Attempt","Instagram;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Group","Group","4-7 years","50-75%","No","Moderate"
"2026/01/22 9:13:08 PM GMT+5:30","35","2nd Attempt","WhatsApp;Telegram","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","4-7 years","75-90%","No","Moderate"
"2026/01/22 9:14:55 PM GMT+5:30","37","3rd Attempt","WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","50-75%","No","Moderate"
"2026/01/22 9:15:22 PM GMT+5:30","30","1st Attempt","Facebook;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","Below 50%","No","High"
"2026/01/22 9:15:31 PM GMT+5:30","36","2nd Attempt","Instagram;TikTok;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","Moderate"
"2026/01/22 9:15:34 PM GMT+5:30","30","3rd Attempt","WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","50-75%","No","Low"
"2026/01/22 9:17:40 PM GMT+5:30","43","1st Attempt","Instagram;WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Group","Group","Group","More than 10 years","Below 50%","No","High"
"2026/01/22 9:18:33 PM GMT+5:30","35","2nd Attempt","WhatsApp;Telegram;YouTube","Over 5 hours","2-4 hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","Yes","High"
