"Timestamp","Average A/L MCQ Marks (Out of 50)","Number of A/L Attempts","Which social media platforms do you use?","Approximately how many hours per day do you spend on social media?","Approximately how many hours per day do you spend on self-study (outside of school/tuition)?","Select the type of tuition class you attend for Subject 1:","Select the type of tuition class you attend for Subject 2:","Select the type of tuition class you attend for Subject 3:","How many years of past papers have you completed for each subject (on average)?","What was your average school attendance percentage during the A/L period?","Were you in a romantic relationship during your A/L preparation period?","On average, how would you rate your stress level during the A/L preparation period?"
"2026/01/23 8:12:47 PM GMT+5:30","35","2nd Attempt","WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","None","8-10 years","Below 50%","No","Moderate"
"2026/01/23 8:54:55 PM GMT+5:30","30","2nd Attempt","WhatsApp;Telegram;YouTube","3-5 hours","4-6 hours","Individual","Mass Class","None","8-10 years","50-75%","No","Moderate"
"2026/01/23 9:24:43 PM GMT+5:30","35","2nd Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","75-90%","No","Low"
"2026/01/23 9:44:47 PM GMT+5:30","30","1st Attempt","Instagram;WhatsApp;Telegram","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","50-75%","No","Moderate"
"2026/01/24 6:02:03 AM GMT+5:30","30","1st Attempt","Facebook;WhatsApp;Telegram;YouTube","Over 5 hours","0-2 hours","Mass Class","Mass Class","Mass Class","1-3 years","75-90%","No","Moderate"
"2026/01/24 12:12:24 PM GMT+5:30","40","1st Attempt","Instagram;WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","No","Low"
"2026/01/24 12:20:15 PM GMT+5:30","33","2nd Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","No","Very High"
"2026/01/24 4:14:19 PM GMT+5:30","31","1st Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Group","Mass Class","Mass Class","4-7 years","75-90%","No","Moderate"
"2026/01/24 8:27:23 PM GMT+5:30","30","1st Attempt","Facebook;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","High"
"2026/01/24 10:37:22 PM GMT+5:30","30","3rd Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","Over 5 hours","6+ hours","Individual","Mass Class","Mass Class","8-10 years","75-90%","No","Low"
"2026/01/25 9:57:35 AM GMT+5:30","36","1st Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","Below 50%","No","High"
"2026/01/25 2:24:40 PM GMT+5:30","35","2nd Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Group;Mass Class","Mass Class","Mass Class","8-10 years","75-90%","No","High"
"2026/01/25 5:48:54 PM GMT+5:30","38","2nd Attempt","Instagram;TikTok;WhatsApp;Telegram;YouTube","1-3 hours","2-4 hours","Mass Class","Mass Class","Mass Class","4-7 years","50-75%","Yes","Low"
"2026/01/25 6:33:46 PM GMT+5:30","30","2nd Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","75-90%","Yes","High"
